INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,,,,,Occur_Time,Time_of_Day,0:00,6:00
214359653,6/18/2020,23:20:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,1001160,184534,40.67317201,-73.93904085,POINT (-73.93904085499997 40.673172014000045),,,,,23:20,Evening,,
213858244,6/5/2020,0:07:00,BRONX,48,0,,TRUE,18-24,M,BLACK,18-24,M,BLACK,1016042,249486,40.85140742,-73.88508409,POINT (-73.88508408799999 40.85140742400006),,,,,0:07,Pre-Dawn Morning,,
214693791,6/28/2020,1:45:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK,1000565,196256,40.70534732,-73.94115745,POINT (-73.94115744599998 40.70534732300007),,,,,1:45,Pre-Dawn Morning,,
209283225,2/9/2020,19:40:00,BROOKLYN,77,0,BAR/NIGHT CLUB,FALSE,,,,18-24,M,BLACK,998108,185113,40.67476654,-73.95004213,POINT (-73.95004212899994 40.674766541000054),,,,,19:40,Evening,,
213050797,5/13/2020,20:24:00,BROOKLYN,67,0,,TRUE,,,,25-44,M,BLACK,1005301,179713,40.65993057,-73.9241276,POINT (-73.92412760099995 40.659930565000025),,,,,20:24,Evening,,
213108367,5/15/2020,2:25:00,BRONX,48,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,M,BLACK,1013908,249734,40.85209554,-73.89279667,POINT (-73.89279667399995 40.852095535000046),,,,,2:25,Pre-Dawn Morning,,
212640530,5/2/2020,19:50:00,QUEENS,114,0,,FALSE,,,,25-44,M,WHITE HISPANIC,1009645,213978,40.75396846,-73.90834136,POINT (-73.90834136499996 40.753968462000046),,,,,19:50,Evening,,
213723895,5/30/2020,2:30:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,TRUE,45-64,M,BLACK,25-44,M,BLACK,989961,192624,40.69539153,-73.97940642,POINT (-73.97940641699995 40.69539152700003),,,,,2:30,Pre-Dawn Morning,,
213471602,5/22/2020,17:50:00,STATEN ISLAND,120,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,<18,U,BLACK,951319,171306,40.63681897,-74.11865313,POINT (-74.11865312699996 40.63681896700007),,,,,17:50,Afternoon,,
212473915,4/27/2020,2:00:00,BROOKLYN,81,0,GROCERY/BODEGA,FALSE,,,,18-24,M,ASIAN / PACIFIC ISLANDER,1005577,188806,40.68488815,-73.92310405,POINT (-73.92310404899996 40.68488814500006),,,,,2:00,Pre-Dawn Morning,,
207701108,1/9/2020,3:34:00,MANHATTAN,9,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,988875,203909,40.72636681,-73.983315,POINT (-73.98331500399996 40.72636681100005),,,,,3:34,Pre-Dawn Morning,,
208187328,1/19/2020,23:30:00,BRONX,46,0,,TRUE,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1011539,251548,40.85708206,-73.90135251,POINT (-73.90135250799995 40.857082062000075),,,,,23:30,Evening,,
208532945,1/25/2020,10:30:00,BRONX,41,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1014791,239916,40.82514498,-73.8896496,POINT (-73.88964960399994 40.82514498300003),,,,,10:30,Morning,,
214430791,6/19/2020,16:13:00,BROOKLYN,75,0,,TRUE,,,,<18,M,BLACK,1015829,179160,40.65838142,-73.88618429,POINT (-73.88618429299999 40.658381415000065),,,,,16:13,Afternoon,,
214729492,6/29/2020,22:31:00,BROOKLYN,90,0,,FALSE,,,,25-44,M,BLACK,998016,196598,40.70629037,-73.95035033,POINT (-73.95035033099998 40.70629036500003),,,,,22:31,Evening,,
